Designator,Mid X,Mid Y,Layer,Rotation
D361,-58.83,95.03,Top,211.0
D362,-67.35,89.19,Top,217.0
D363,-75.29,82.60,Top,222.0
D364,-82.60,75.29,Top,227.0
D365,-89.19,67.35,Top,232.0
D366,-95.03,58.83,Top,238.0
D367,-100.04,49.81,Top,243.0
D368,-104.21,40.38,Top,248.0
D369,-107.49,30.58,Top,254.0
D370,-109.86,20.54,Top,259.0
D371,-111.28,10.30,Top,264.0
D372,-111.76, 0.00,Top,270.0
D373,-111.28,-10.30,Top,275.0
D374,-109.86,-20.54,Top,280.0
D375,-107.49,-30.58,Top,285.0
D376,-104.21,-40.38,Top,291.0
D377,-100.04,-49.81,Top,296.0
D378,-95.03,-58.83,Top,301.0
D379,-89.19,-67.35,Top,307.0
D380,-82.60,-75.29,Top,312.0
D381,-75.29,-82.60,Top,317.0
D382,-67.35,-89.19,Top,322.0
D383,-58.83,-95.03,Top,328.0
D384,-49.81,-100.04,Top,333.0
D385,-40.38,-104.21,Top,338.0
D386,-30.58,-107.49,Top,344.0
D387,-20.54,-109.86,Top,349.0
D388,-10.30,-111.28,Top,354.0
D389, 0.00,-111.76,Top,0.0
D390,10.30,-111.28,Top,5.0
D391,20.54,-109.86,Top,10.0
D392,30.58,-107.49,Top,15.0
D393,40.38,-104.21,Top,21.0
D394,49.81,-100.04,Top,26.0
D395,58.83,-95.03,Top,31.0
D396,67.35,-89.19,Top,37.0
D397,75.29,-82.60,Top,42.0
D398,82.60,-75.29,Top,47.0
D399,89.19,-67.35,Top,52.0
D400,95.03,-58.83,Top,58.0
D401,100.04,-49.81,Top,63.0
D402,104.21,-40.38,Top,68.0
D403,107.49,-30.58,Top,74.0
D404,109.86,-20.54,Top,79.0
D405,111.28,-10.30,Top,84.0
R1,116.84,-10.16,Top,180.0
U2,-109.22,-76.20,Top,0.0
U4,109.22,76.20,Top,0.0
